,MATCHID,DATE,SEASON,HOME,AWAY,W_HOME,W_AWAY,HOME_FG,AWAY_FG,HOME_FGA,AWAY_FGA,HOME_FG_PCT,AWAY_FG_PCT,HOME_FG3,AWAY_FG3,HOME_FG3A,AWAY_FG3A,HOME_FG3_PCT,AWAY_FG3_PCT,HOME_FT,AWAY_FT,HOME_FTA,AWAY_FTA,HOME_FT_PCT,AWAY_FT_PCT,HOME_OFF_REB,AWAY_OFF_REB,HOME_DEF_REB,AWAY_DEF_REB,HOME_TOT_REB,AWAY_TOT_REB,HOME_AST,AWAY_AST,HOME_STL,AWAY_STL,HOME_TURNOVERS,AWAY_TURNOVERS,HOME_BLK,AWAY_BLK,HOME_PTS,AWAY_PTS
113,0021700709,01/24/2018,2017-18,Clippers,Celtics,0,1,35,39,79,93,0.443,0.419,5,14,21,40,0.238,0.35,27,21,39,22,0.692,0.955,10,10,30,37,58,53,26,25,6,10,19,13,5,3,102,113
114,0021700700,01/23/2018,2017-18,Lakers,Celtics,1,0,40,42,91,90,0.44,0.467,7,15,26,44,0.269,0.341,21,8,36,10,0.583,0.8,14,7,37,35,68,48,18,22,6,3,10,11,2,5,108,107
115,0021700683,01/21/2018,2017-18,Celtics,Magic,0,1,37,43,85,92,0.435,0.467,8,6,27,21,0.296,0.286,13,11,14,16,0.929,0.688,11,13,33,31,49,54,22,20,6,7,15,10,9,9,95,103
116,0021700663,01/18/2018,2017-18,Celtics,76ers,0,1,30,34,74,73,0.405,0.466,7,6,29,17,0.241,0.353,13,15,17,17,0.765,0.882,3,8,28,33,38,51,13,18,7,10,19,25,5,5,80,89
117,0021700650,01/16/2018,2017-18,Celtics,Pelicans,0,1,40,45,101,100,0.396,0.45,19,7,50,27,0.38,0.259,14,19,16,25,0.875,0.76,12,13,41,42,60,64,27,28,7,11,19,15,3,6,113,116
118,0021700614,01/11/2018,2017-18,76ers,Celtics,0,1,38,43,82,89,0.463,0.483,11,13,28,35,0.393,0.371,16,15,18,19,0.889,0.789,3,11,34,35,43,53,20,24,12,11,19,18,4,2,103,114
119,0021700579,01/06/2018,2017-18,Nets,Celtics,0,1,30,37,91,98,0.33,0.378,6,5,31,18,0.194,0.278,19,8,22,15,0.864,0.533,12,12,43,32,77,55,11,12,2,8,18,5,11,13,85,87
120,0021700570,01/05/2018,2017-18,Celtics,Timberwolves,1,0,38,28,94,76,0.404,0.368,6,7,36,23,0.167,0.304,9,21,13,28,0.692,0.75,17,9,39,34,63,52,24,15,6,6,11,12,4,5,91,84
121,0021700559,01/03/2018,2017-18,Celtics,Cavaliers,1,0,41,31,92,89,0.446,0.348,12,8,36,32,0.333,0.25,8,18,11,18,0.727,1.0,9,9,43,39,60,52,27,16,9,6,16,15,2,7,102,88
122,0021700539,12/31/2017,2017-18,Celtics,Nets,1,0,39,39,79,95,0.494,0.411,14,11,33,36,0.424,0.306,16,16,25,19,0.64,0.842,8,11,42,34,55,53,21,25,7,5,17,11,8,4,108,105
